;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERIE;ANO;CODUP;NOMEUP;Hiper_e_Supermercados_estabelecimentos_hab;Mercearias_e_similares_estabelecimentos_hab;Distribuicao_de_equipamentos_culturais;Livrarias_e_papelarias_M2_hab;Locadoras;Bancas_de_revista;Matricula_na_Educacao_Infantil;Matricula_no_Ensino_Fundamental;indice_de_Aproveitamento_no_Ensino_Fundamental;Matricula_no_Ensino_Medio;indice_de_Aproveitamento_no_Ensino_Medio;Quadras_campos_e_pistas_de_cooper;area_residencial_adequada;Padrao_de_acabamento;Seguranca_do_Terreno_indice_de_risco_geologico_efetivo;indice_de_Salubridade_Ambiental;Fornecimento_de_Energia_Eletrica;Possibilidade_de_acesso_Pavimentacao;Numero_de_veiculos_por_habitante;Frequencia_das_linhas_por_UP;Tranquilidade_sonora;Ausencia_de_coletivos_poluidores;area_de_verde__por_habitante;Centros_de_saude;Outros_equipamentos_de_assistencia_medica_estabelecimento_hab;Equipamentos_odontologicos_estabelecimento_habitante;APVP;Agencias_bancarias;Postos_de_gasolina;Farmacias;Espacos_publicos_para_inclusao_digital;Correios;Telefones_Publicos;Ausencia_de_crimes_contra_a_pessoa_homicidios_tentados_e_consumados;Ausencia_de_crimes_contra_o_patrimônio_roubo_e_furto;Ausencia_de_acidentes_de_trânsito;IOL_1_Abastecimento;IOL_2_Cultura;IOL_3_Educacao;IOL_4_Esportes;IOL_5_Habitacao;IOL_6_Infra-estrutura_urbana;IOL_7_Meio_Ambiente;IOL_8_Saude;IOL_9_Servicos_Urbanos;IOL_10_Seguranca_urbana;IQVU_1_Abastecimento;IQVU_2_Cultura;IQVU_3_Educacao;IQVU_4_Esportes;IQVU_5_Habitacao;IQVU_6_Infra-estrutura_urbana;IQVU_7_Meio_Ambiente;IQVU_8_Saude;IQVU_9_Servicos_Urbanos;IQVU_10_Seguranca_urbana;IOL;IQVU
SERIE HISTÓRICA;1994;2001;Instituto Agronômico;;;0,02;47,77;;;;89,93;;52,41;61,83;;26,48;8,29;;;100,00;100,00;3,99;;104,10;;;0,07;;;;0,68;;;;;28,34;;7,79;21,24;0,64426;0,25427;0,84032;;0,61629;0,77698;0,86957;0,18507;0,30345;0,26355;0,64238;0,43246;0,83309;;0,61629;0,77698;0,86957;0,35959;0,52137;0,26355;0,55884;0,61150
SERIE HISTÓRICA;1994;2002;Boa Vista;;;0,00;6,34;;;;184,65;;24,75;77,09;;11,97;4,38;;;99,90;79,10;1,52;;119,10;;;0,06;;;;0,00;;;;;23,51;;6,50;22,37;0,46850;0,00682;0,81781;;0,34033;0,77584;0,90275;0,17115;0,12229;0,24895;0,49180;0,22841;0,75824;;0,34033;0,77584;0,90275;0,29464;0,29181;0,24895;0,46108;0,49778
SERIE HISTÓRICA;1994;2003;Floresta/Santa Tereza;;;0,06;101,76;;;;513,61;;364,49;82,30;;37,79;8,30;;;99,82;92,85;8,25;;100,10;;;0,00;;;;1,20;;;;;61,74;;8,73;24,25;0,78860;0,60627;0,86999;;0,71121;0,79713;0,85895;0,50936;0,47123;0,29551;0,77935;0,59574;0,86957;;0,71121;0,79713;0,85895;0,50314;0,46953;0,29551;0,67193;0,66976
SERIE HISTÓRICA;1994;2004;Pompéia;;;0,00;5,36;;;;130,55;;9,14;45,18;;18,42;5,32;;;100,00;90,57;2,38;;128,10;;;0,11;;;;0,00;;;;;24,48;;12,52;40,14;0,51059;0,07218;0,72430;;0,45775;0,78582;0,91845;0,25113;0,14848;0,40398;0,53487;0,31027;0,72268;;0,45775;0,78582;0,91845;0,41332;0,36188;0,40398;0,50583;0,56089
SERIE HISTÓRICA;1994;2005;Taquaril;;;0,00;0,00;;;;210,21;;0,00;30,17;;2,57;1,07;;;68,90;57,44;0,16;;145,10;;;0,03;;;;0,00;;;;;10,75;;8,92;32,54;0,43192;0,00000;0,45073;;0,09105;0,55607;0,94153;0,09979;0,04743;0,28614;0,44236;0,25612;0,47215;;0,09105;0,55607;0,94153;0,26698;0,27402;0,28614;0,31297;0,37260
SERIE HISTÓRICA;1994;2006;Santa Efigênia;;;0,03;37,16;;;;147,81;;80,23;65,12;;22,51;6,29;;;97,99;74,03;4,27;;108,10;;;0,05;;;;0,25;;;;;31,89;;8,00;24,56;0,44555;0,36976;0,81876;;0,53111;0,76210;0,87939;0,61362;0,20705;0,27235;0,49824;0,54195;0,79774;;0,53111;0,76210;0,87939;0,59412;0,46275;0,27235;0,57567;0,60772
SERIE HISTÓRICA;1994;2007;Baleia;;;0,00;0,00;;;;185,53;;0,00;0,00;;4,81;2,23;;;98,90;36,74;0,00;;153,10;;;0,00;;;;0,00;;;;;24,12;;85,70;277,20;0,32746;0,00000;0,49544;;0,16071;0,60044;0,95000;0,00000;0,05712;0,97115;0,34319;0,23081;0,50881;;0,16071;0,60044;0,95000;0,19008;0,25378;0,97115;0,37369;0,43185
SERIE HISTÓRICA;1994;2008;Mariano de Abreu;;;0,00;0,00;;;;0,00;;0,00;0,00;;3,52;4,17;;;87,17;51,33;0,00;;153,10;;;0,28;;;;0,00;;;;;13,91;;111,24;355,61;0,33681;0,27347;0,00000;;0,13441;0,74090;0,95000;0,24863;0,18000;0,98810;0,36594;0,42566;0,22374;;0,13441;0,74090;0,95000;0,35695;0,33633;0,98810;0,38680;0,45514
SERIE HISTÓRICA;1994;2009;Santa Inês;;;0,00;103,77;;;;20,97;;15,34;80,00;;24,06;5,48;;;100,00;75,02;6,07;;138,10;;;0,10;;;;0,00;;;;;36,61;;39,52;124,06;0,58411;0,41550;0,63991;;0,52498;0,76807;0,93294;0,22309;0,29623;0,79772;0,60339;0,41531;0,66865;;0,52498;0,76807;0,93294;0,35038;0,44178;0,79772;0,56564;0,60475
SERIE HISTÓRICA;1994;2101;Capitäo Eduardo;;;0,00;0,00;;;;129,02;;61,44;82,73;;0,00;0,00;;;100,00;7,68;0,25;;152,10;;;0,25;;;;0,00;;;;;0,00;;98,09;313,55;0,14561;0,00000;0,91307;;0,00000;0,49753;0,94901;0,24747;0,00000;0,98109;0,14667;0,11456;0,89619;;0,00000;0,49753;0,94901;0,29258;0,06856;0,98109;0,39449;0,40968
SERIE HISTÓRICA;1994;2102;Ribeiro de Abreu;;;0,00;0,53;;;;77,98;;0,00;0,00;;5,70;4,44;;;97,93;33,63;1,70;;148,10;;;0,10;;;;0,00;;;;;11,02;;12,49;41,69;0,21639;0,00059;0,45468;;0,20151;0,67509;0,94486;0,21337;0,02794;0,39957;0,21837;0,16413;0,48870;;0,20151;0,67509;0,94486;0,27745;0,12230;0,39957;0,36054;0,38938
SERIE HISTÓRICA;1994;2103;Belmonte;;;0,00;2,87;;;;218,96;;31,56;55,87;;9,05;3,94;;;98,02;50,80;1,16;;141,10;;;0,05;;;;0,00;;;;;10,34;;7,54;30,99;0,40701;0,06902;0,79488;;0,27753;0,71791;0,93677;0,22150;0,10940;0,30479;0,45180;0,21669;0,79083;;0,27753;0,71791;0,93677;0,28510;0,19341;0,30479;0,44574;0,47137
